dataset_id,name,original_paper,organism,tissue,modality,accession,source_url,license,status,sha256,tags,notes
xie-e7-5-rep1,小鼠胚胎 E7.5 重复 1,Xie et al. 2025,mouse,embryo,Stereo-seq,GSM9046243,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM9046243,以GEO和论文条款为准,linked_not_downloaded,,stage:e7.5;replicate:1;source:geo;format:h5ad,GEO报告195.4 MB；SRX29179015；下载因本机NCBI连接中断未完成
xie-e7-5-rep2,小鼠胚胎 E7.5 重复 2,Xie et al. 2025,mouse,embryo,Stereo-seq,GSM9046244,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM9046244,以GEO和论文条款为准,linked_not_downloaded,,stage:e7.5;replicate:2;source:geo;format:h5ad,GEO报告31.5 MB；SRX29179016；下载因本机NCBI连接中断未完成
xie-e7-75-rep1,小鼠胚胎 E7.75 重复 1,Xie et al. 2025,mouse,embryo,Stereo-seq,GSM9046245,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM9046245,以GEO和论文条款为准,linked_not_downloaded,,stage:e7.75;replicate:1;source:geo;format:h5ad,GEO报告344.7 MB；SRX29179017；下载因本机NCBI连接中断未完成
xie-e7-75-rep2,小鼠胚胎 E7.75 重复 2,Xie et al. 2025,mouse,embryo,Stereo-seq,GSM9046246,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM9046246,以GEO和论文条款为准,linked_not_downloaded,,stage:e7.75;replicate:2;source:geo;format:h5ad,GEO报告92.8 MB；SRX29179018；下载因本机NCBI连接中断未完成
xie-e8-rep1,小鼠胚胎 E8.0 重复 1,Xie et al. 2025,mouse,embryo,Stereo-seq,GSM9046247,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM9046247,以GEO和论文条款为准,linked_not_downloaded,,stage:e8.0;replicate:1;source:geo;format:h5ad,GEO报告35.7 MB；SRX29179019；下载因本机NCBI连接中断未完成
xie-e8-rep2,小鼠胚胎 E8.0 重复 2,Xie et al. 2025,mouse,embryo,Stereo-seq,GSM9046248,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM9046248,以GEO和论文条款为准,linked_not_downloaded,,stage:e8.0;replicate:2;source:geo;format:h5ad,GEO报告102.8 MB；SRX29179020；下载因本机NCBI连接中断未完成
