dataset_id,name,original_paper,organism,tissue,modality,accession,source_url,license,status,sha256,tags,notes
mosta3d-e9-5,"E9.5 完整小鼠胚胎三维 Stereo-seq",Cheng et al. 2024,mouse,embryo,Stereo-seq,CNP0005981,https://db.cngb.org/data_resources/project/CNP0005981/,"许可待来源恢复后核实",catalog_only,,"organism:mouse;tissue:embryo;stage:e9.5;modality:stereo-seq;imaging:sbfi;source:cnsa;license:verify;status:catalog-only","94 张连续 Stereo-seq 切片；915,901 个细胞；88 种细胞类型；14 个器官/空间区域。"
mosta3d-e11-5,"E11.5 完整小鼠胚胎三维 Stereo-seq",Cheng et al. 2024,mouse,embryo,Stereo-seq,CNP0005981,https://db.cngb.org/data_resources/project/CNP0005981/,"许可待来源恢复后核实",catalog_only,,"organism:mouse;tissue:embryo;stage:e11.5;modality:stereo-seq;imaging:sbfi;source:cnsa;license:verify;status:catalog-only","91 张间隔 Stereo-seq 切片；7,830,602 个细胞；100 种细胞类型；23 个器官/空间区域。"
