dataset_id,name,organism,tissue,modality,accession,source_url,license,status,sha256,tags,notes
chen_popalign_pbmc,Chen/PopAlign PBMC药物扰动,human,PBMC,scRNA-seq,figshare:11837097,https://doi.org/10.6084/m9.figshare.11837097,source-specific,not_downloaded,,drug-perturbation;pbmc;popalign,"RISE预处理后参考规模29433细胞x9461基因x46条件；仅用于核对"
perez_sle_pbmc,Perez SLE PBMC疾病队列,human,PBMC,scRNA-seq,GSE174188,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE174188,CC BY 4.0,not_downloaded,,disease-cohort;sle;pbmc,"261供体354样本；RISE预处理后参考规模1263673细胞x2161基因；不能将重复样本当作独立供体"
