dataset_id,name,original_paper,organism,tissue,modality,accession,source_url,license,status,sha256,tags,notes
zhuang-abca-1,"成年小鼠 1：冠状切 MERFISH 全脑",Zhang et al. 2023,mouse,brain,MERFISH,Zhuang-ABCA-1,https://alleninstitute.github.io/abc_atlas_access/descriptions/Zhuang-ABCA-1.html,CC-BY-4.0,linked,,"orientation:coronal;modality:merfish;organism:mouse;tissue:brain;viewer:spatialvista","雌鼠；147 张切片；约 420 万处理后细胞；表达矩阵 3.09 GB、元数据 1.33 GB、CCF 坐标 0.21 GB。"
zhuang-abca-2,"成年小鼠 2：冠状切 MERFISH 全脑",Zhang et al. 2023,mouse,brain,MERFISH,Zhuang-ABCA-2,https://alleninstitute.github.io/abc_atlas_access/descriptions/Zhuang-ABCA-2.html,CC-BY-4.0,linked,,"orientation:coronal;modality:merfish;organism:mouse;tissue:brain;viewer:spatialvista","雄鼠；66 张切片；约 190 万处理后细胞；表达矩阵 1.30 GB、元数据 0.57 GB、CCF 坐标 0.08 GB。"
zhuang-abca-3,"成年小鼠 3：矢状切 MERFISH 全脑",Zhang et al. 2023,mouse,brain,MERFISH,Zhuang-ABCA-3,https://alleninstitute.github.io/abc_atlas_access/descriptions/Zhuang-ABCA-3.html,CC-BY-4.0,linked,,"orientation:sagittal;modality:merfish;organism:mouse;tissue:brain;viewer:spatialvista","雄鼠；23 张切片；约 210 万处理后细胞；表达矩阵 1.69 GB、元数据 0.75 GB、CCF 坐标 0.12 GB。"
zhuang-abca-4,"成年小鼠 4：矢状切 MERFISH 部分脑切片",Zhang et al. 2023,mouse,brain,MERFISH,Zhuang-ABCA-4,https://alleninstitute.github.io/abc_atlas_access/descriptions/Zhuang-ABCA-4.html,CC-BY-4.0,linked,,"orientation:sagittal;modality:merfish;organism:mouse;tissue:brain;viewer:not-in-spatialvista","雄鼠；3 张切片；约 22 万处理后细胞；表达矩阵 0.16 GB、元数据 0.08 GB、CCF 坐标 0.01 GB。"
