source_id,run_accession,experiment_accession,experiment_title,run_title,file_name,file_type,data_level,size_bytes,download_url,is_raw,is_processed,local_path,download_status,sha256,git_tracking,notes
HRA005567,HRR1375439,,,,HRR1375439_sta.xml,XML,run_statistics,2382,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375439/HRR1375439_sta.xml,no,no,data/external/HRA005567/HRR1375439/HRR1375439_sta.xml,not_downloaded,,ignored,官方run统计；未提交附件
HRA005567,HRR1375440,HRX1076978,CP1-8,CP1-8-2h,HRR1375440_f1.fq.gz,FASTQ,raw,5205967840,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375440/HRR1375440_f1.fq.gz,yes,no,data/raw/HRA005567/HRR1375440/HRR1375440_f1.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375440,HRX1076978,CP1-8,CP1-8-2h,HRR1375440_r2.fq.gz,FASTQ,raw,12121091473,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375440/HRR1375440_r2.fq.gz,yes,no,data/raw/HRA005567/HRR1375440/HRR1375440_r2.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375440,,,,HRR1375440_sta.xml,XML,run_statistics,2379,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375440/HRR1375440_sta.xml,no,no,data/external/HRA005567/HRR1375440/HRR1375440_sta.xml,not_downloaded,,ignored,官方run统计；未提交附件
HRA005567,HRR1375441,HRX1076979,CP1-9,CP1-9-a,HRR1375441_f1.fq.gz,FASTQ,raw,3692881651,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375441/HRR1375441_f1.fq.gz,yes,no,data/raw/HRA005567/HRR1375441/HRR1375441_f1.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375441,HRX1076979,CP1-9,CP1-9-a,HRR1375441_r2.fq.gz,FASTQ,raw,8647358140,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375441/HRR1375441_r2.fq.gz,yes,no,data/raw/HRA005567/HRR1375441/HRR1375441_r2.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375441,,,,HRR1375441_sta.xml,XML,run_statistics,2379,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375441/HRR1375441_sta.xml,no,no,data/external/HRA005567/HRR1375441/HRR1375441_sta.xml,not_downloaded,,ignored,官方run统计；未提交附件
HRA005567,HRR1375442,HRX1076979,CP1-9,CP1-9-b,HRR1375442_f1.fq.gz,FASTQ,raw,1510432498,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375442/HRR1375442_f1.fq.gz,yes,no,data/raw/HRA005567/HRR1375442/HRR1375442_f1.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375442,HRX1076979,CP1-9,CP1-9-b,HRR1375442_r2.fq.gz,FASTQ,raw,3513327575,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375442/HRR1375442_r2.fq.gz,yes,no,data/raw/HRA005567/HRR1375442/HRR1375442_r2.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375442,,,,HRR1375442_sta.xml,XML,run_statistics,2356,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375442/HRR1375442_sta.xml,no,no,data/external/HRA005567/HRR1375442/HRR1375442_sta.xml,not_downloaded,,ignored,官方run统计；未提交附件
HRA005567,HRR1375443,HRX1076979,CP1-9,CP1-9-c,HRR1375443_f1.fq.gz,FASTQ,raw,2773497417,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375443/HRR1375443_f1.fq.gz,yes,no,data/raw/HRA005567/HRR1375443/HRR1375443_f1.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375443,HRX1076979,CP1-9,CP1-9-c,HRR1375443_r2.fq.gz,FASTQ,raw,6469460607,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375443/HRR1375443_r2.fq.gz,yes,no,data/raw/HRA005567/HRR1375443/HRR1375443_r2.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375443,,,,HRR1375443_sta.xml,XML,run_statistics,2367,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375443/HRR1375443_sta.xml,no,no,data/external/HRA005567/HRR1375443/HRR1375443_sta.xml,not_downloaded,,ignored,官方run统计；未提交附件
HRA005567,HRR1375444,HRX1076979,CP1-9,CP1-9-d,HRR1375444_f1.fq.gz,FASTQ,raw,1944342225,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375444/HRR1375444_f1.fq.gz,yes,no,data/raw/HRA005567/HRR1375444/HRR1375444_f1.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375444,HRX1076979,CP1-9,CP1-9-d,HRR1375444_r2.fq.gz,FASTQ,raw,4523595097,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375444/HRR1375444_r2.fq.gz,yes,no,data/raw/HRA005567/HRR1375444/HRR1375444_r2.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375444,,,,HRR1375444_sta.xml,XML,run_statistics,2359,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375444/HRR1375444_sta.xml,no,no,data/external/HRA005567/HRR1375444/HRR1375444_sta.xml,not_downloaded,,ignored,官方run统计；未提交附件
HRA005567,HRR1375445,HRX1076979,CP1-9,CP1-9-e,HRR1375445_f1.fq.gz,FASTQ,raw,5430702054,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375445/HRR1375445_f1.fq.gz,yes,no,data/raw/HRA005567/HRR1375445/HRR1375445_f1.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375445,HRX1076979,CP1-9,CP1-9-e,HRR1375445_r2.fq.gz,FASTQ,raw,12722183236,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375445/HRR1375445_r2.fq.gz,yes,no,data/raw/HRA005567/HRR1375445/HRR1375445_r2.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375445,,,,HRR1375445_sta.xml,XML,run_statistics,2387,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375445/HRR1375445_sta.xml,no,no,data/external/HRA005567/HRR1375445/HRR1375445_sta.xml,not_downloaded,,ignored,官方run统计；未提交附件
HRA005567,HRR1375446,HRX1076979,CP1-9,CP1-9-f,HRR1375446_f1.fq.gz,FASTQ,raw,5686572475,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375446/HRR1375446_f1.fq.gz,yes,no,data/raw/HRA005567/HRR1375446/HRR1375446_f1.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375446,HRX1076979,CP1-9,CP1-9-f,HRR1375446_r2.fq.gz,FASTQ,raw,13392526707,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375446/HRR1375446_r2.fq.gz,yes,no,data/raw/HRA005567/HRR1375446/HRR1375446_r2.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375446,,,,HRR1375446_sta.xml,XML,run_statistics,2388,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375446/HRR1375446_sta.xml,no,no,data/external/HRA005567/HRR1375446/HRR1375446_sta.xml,not_downloaded,,ignored,官方run统计；未提交附件
HRA005567,HRR1375447,HRX1076979,CP1-9,CP1-9-g,HRR1375447_f1.fq.gz,FASTQ,raw,5329208110,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375447/HRR1375447_f1.fq.gz,yes,no,data/raw/HRA005567/HRR1375447/HRR1375447_f1.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375447,HRX1076979,CP1-9,CP1-9-g,HRR1375447_r2.fq.gz,FASTQ,raw,12529102251,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375447/HRR1375447_r2.fq.gz,yes,no,data/raw/HRA005567/HRR1375447/HRR1375447_r2.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375447,,,,HRR1375447_sta.xml,XML,run_statistics,2387,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375447/HRR1375447_sta.xml,no,no,data/external/HRA005567/HRR1375447/HRR1375447_sta.xml,not_downloaded,,ignored,官方run统计；未提交附件
HRA005567,HRR1375448,HRX1076979,CP1-9,CP1-9-h,HRR1375448_f1.fq.gz,FASTQ,raw,6222522293,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375448/HRR1375448_f1.fq.gz,yes,no,data/raw/HRA005567/HRR1375448/HRR1375448_f1.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375448,HRX1076979,CP1-9,CP1-9-h,HRR1375448_r2.fq.gz,FASTQ,raw,14647550118,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375448/HRR1375448_r2.fq.gz,yes,no,data/raw/HRA005567/HRR1375448/HRR1375448_r2.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
