bioproject,study_accession,gsm_accession,stage,replicate,srx_accession,sra_page,run_selector,download_policy,download_instructions,status
PRJNA1168072,SRP536234,GSM9046243,E7.5,rep1,SRX29179015,https://www.ncbi.nlm.nih.gov/sra?term=SRX29179015,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA1168072,manual_only,先从Run Selector导出SRR清单；再用prefetch和fasterq-dump --split-files下载,linked
PRJNA1168072,SRP536234,GSM9046244,E7.5,rep2,SRX29179016,https://www.ncbi.nlm.nih.gov/sra?term=SRX29179016,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA1168072,manual_only,先从Run Selector导出SRR清单；再用prefetch和fasterq-dump --split-files下载,linked
PRJNA1168072,SRP536234,GSM9046245,E7.75,rep1,SRX29179017,https://www.ncbi.nlm.nih.gov/sra?term=SRX29179017,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA1168072,manual_only,先从Run Selector导出SRR清单；再用prefetch和fasterq-dump --split-files下载,linked
PRJNA1168072,SRP536234,GSM9046246,E7.75,rep2,SRX29179018,https://www.ncbi.nlm.nih.gov/sra?term=SRX29179018,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA1168072,manual_only,先从Run Selector导出SRR清单；再用prefetch和fasterq-dump --split-files下载,linked
PRJNA1168072,SRP536234,GSM9046247,E8.0,rep1,SRX29179019,https://www.ncbi.nlm.nih.gov/sra?term=SRX29179019,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA1168072,manual_only,先从Run Selector导出SRR清单；再用prefetch和fasterq-dump --split-files下载,linked
PRJNA1168072,SRP536234,GSM9046248,E8.0,rep2,SRX29179020,https://www.ncbi.nlm.nih.gov/sra?term=SRX29179020,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA1168072,manual_only,先从Run Selector导出SRR清单；再用prefetch和fasterq-dump --split-files下载,linked
