repository,revision,path,size_bytes,lfs_sha256,download_url
Toycat/SToCorpus-88M,6f699f128416e8d55d6ab74976e964caec98b157,cellxgene/05a73afa-40b7-4cc0-9bac-5f6b5a50fc46_C57BL6J-1.083.h5ad,3236964009,d635bc55d704a6c8ff0b926dde8c51114ddb0b88c65bed5329be9e27457b7f7d,https://huggingface.co/datasets/Toycat/SToCorpus-88M/resolve/6f699f128416e8d55d6ab74976e964caec98b157/cellxgene/05a73afa-40b7-4cc0-9bac-5f6b5a50fc46_C57BL6J-1.083.h5ad
Toycat/SToCorpus-88M,6f699f128416e8d55d6ab74976e964caec98b157,cellxgene/05a73afa-40b7-4cc0-9bac-5f6b5a50fc46_C57BL6J-1.084.h5ad,2965530362,aa2f085748231a30b2af15785f20d0f730a62c11f7947f9ea9eb6b36cfa6f9b9,https://huggingface.co/datasets/Toycat/SToCorpus-88M/resolve/6f699f128416e8d55d6ab74976e964caec98b157/cellxgene/05a73afa-40b7-4cc0-9bac-5f6b5a50fc46_C57BL6J-1.084.h5ad
Toycat/SToCorpus-88M,6f699f128416e8d55d6ab74976e964caec98b157,cellxgene/05a73afa-40b7-4cc0-9bac-5f6b5a50fc46_C57BL6J-1.085.h5ad,3342078334,ff62baba4d5c3da3090fb6caaaeeebe7b66b9473048c7f38f20808be73819f6d,https://huggingface.co/datasets/Toycat/SToCorpus-88M/resolve/6f699f128416e8d55d6ab74976e964caec98b157/cellxgene/05a73afa-40b7-4cc0-9bac-5f6b5a50fc46_C57BL6J-1.085.h5ad
Toycat/SToCorpus-88M,6f699f128416e8d55d6ab74976e964caec98b157,cellxgene/05a73afa-40b7-4cc0-9bac-5f6b5a50fc46_C57BL6J-1.086.h5ad,3272685109,8cf25d62833db046f99e10c1173be418897fc8430dbb996ef50762ffc9b71dcd,https://huggingface.co/datasets/Toycat/SToCorpus-88M/resolve/6f699f128416e8d55d6ab74976e964caec98b157/cellxgene/05a73afa-40b7-4cc0-9bac-5f6b5a50fc46_C57BL6J-1.086.h5ad
Toycat/SToCorpus-88M,6f699f128416e8d55d6ab74976e964caec98b157,cellxgene/05a73afa-40b7-4cc0-9bac-5f6b5a50fc46_C57BL6J-1.087.h5ad,2941118795,4e78eb6f5e696b3d67afd54185ed3676cbc6f975b0881c2f01634ff21e738e07,https://huggingface.co/datasets/Toycat/SToCorpus-88M/resolve/6f699f128416e8d55d6ab74976e964caec98b157/cellxgene/05a73afa-40b7-4cc0-9bac-5f6b5a50fc46_C57BL6J-1.087.h5ad
Toycat/SToCorpus-88M,6f699f128416e8d55d6ab74976e964caec98b157,cellxgene/05a73afa-40b7-4cc0-9bac-5f6b5a50fc46_C57BL6J-1.088.h5ad,3354548580,ab7d78089cc06f6cf2b3c3668c082f7dea31c22ab058e4f0ea141a67cbfb4d2d,https://huggingface.co/datasets/Toycat/SToCorpus-88M/resolve/6f699f128416e8d55d6ab74976e964caec98b157/cellxgene/05a73afa-40b7-4cc0-9bac-5f6b5a50fc46_C57BL6J-1.088.h5ad
Toycat/SToCorpus-88M,6f699f128416e8d55d6ab74976e964caec98b157,cellxgene/05a73afa-40b7-4cc0-9bac-5f6b5a50fc46_C57BL6J-1.089.h5ad,2900690855,e3e03bae9f574b2b5535630231e33617c27e0e3b17873d2afdc38df217fbf594,https://huggingface.co/datasets/Toycat/SToCorpus-88M/resolve/6f699f128416e8d55d6ab74976e964caec98b157/cellxgene/05a73afa-40b7-4cc0-9bac-5f6b5a50fc46_C57BL6J-1.089.h5ad
Toycat/SToCorpus-88M,6f699f128416e8d55d6ab74976e964caec98b157,cellxgene/05a73afa-40b7-4cc0-9bac-5f6b5a50fc46_C57BL6J-1.090.h5ad,3385417429,55464688212abe679c86248300bd423c6f50c63a5387d085c2a1609fc0c47631,https://huggingface.co/datasets/Toycat/SToCorpus-88M/resolve/6f699f128416e8d55d6ab74976e964caec98b157/cellxgene/05a73afa-40b7-4cc0-9bac-5f6b5a50fc46_C57BL6J-1.090.h5ad
Toycat/SToCorpus-88M,6f699f128416e8d55d6ab74976e964caec98b157,cellxgene/05a73afa-40b7-4cc0-9bac-5f6b5a50fc46_C57BL6J-1.091.h5ad,2726591757,ecaaf93bfad3014e0e65a4c549fb4746a4bf77448d17c50df245df9ac3cd8ffb,https://huggingface.co/datasets/Toycat/SToCorpus-88M/resolve/6f699f128416e8d55d6ab74976e964caec98b157/cellxgene/05a73afa-40b7-4cc0-9bac-5f6b5a50fc46_C57BL6J-1.091.h5ad
Toycat/SToCorpus-88M,6f699f128416e8d55d6ab74976e964caec98b157,cellxgene/05a73afa-40b7-4cc0-9bac-5f6b5a50fc46_C57BL6J-1.092.h5ad,3068910816,ff4f0f3807c0015681d45730a1cd99a9d82e31ebc9b32c0a00c71405a9f2d6d8,https://huggingface.co/datasets/Toycat/SToCorpus-88M/resolve/6f699f128416e8d55d6ab74976e964caec98b157/cellxgene/05a73afa-40b7-4cc0-9bac-5f6b5a50fc46_C57BL6J-1.092.h5ad
